iter	MultiClass	Recall:class=0	Recall:class=1	Recall:class=2	Recall:class=3	Recall:class=4	Precision:class=0	Precision:class=1	Precision:class=2	Precision:class=3	Precision:class=4	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4
0	1.56698765	1	0	0	0	0	0.5098669373	1	1	1	1	0.6753799619	0	0	0	0
1	1.529306149	1	0	0	0	0	0.5098669373	1	1	1	1	0.6753799619	0	0	0	0
2	1.495630334	1	0	0	0	0	0.5098669373	1	1	1	1	0.6753799619	0	0	0	0
3	1.465366185	1	0	0	0	0	0.5098669373	1	1	1	1	0.6753799619	0	0	0	0
4	1.438041175	1	0	0	0	0	0.5098669373	1	1	1	1	0.6753799619	0	0	0	0
5	1.413272572	1	0	0	0	0	0.5098669373	1	1	1	1	0.6753799619	0	0	0	0
6	1.390745606	1	0	0	0	0	0.5098669373	1	1	1	1	0.6753799619	0	0	0	0
7	1.370197989	1	0	0	0	0	0.5098669373	1	1	1	1	0.6753799619	0	0	0	0
8	1.351408671	1	0	0	0	0	0.5098669373	1	1	1	1	0.6753799619	0	0	0	0
9	1.3341895	1	0	0	0	0	0.5098669373	1	1	1	1	0.6753799619	0	0	0	0
10	1.318378925	1	0	0	0	0	0.5098669373	1	1	1	1	0.6753799619	0	0	0	0
11	1.303837157	1	0	0	0	0	0.5098669373	1	1	1	1	0.6753799619	0	0	0	0
12	1.290442397	1	0	0	0	0	0.5098669373	1	1	1	1	0.6753799619	0	0	0	0
13	1.27808787	1	0	0	0	0	0.5098669373	1	1	1	1	0.6753799619	0	0	0	0
14	1.26667944	1	0	0	0	0	0.5098669373	1	1	1	1	0.6753799619	0	0	0	0
15	1.256133705	1	0	0	0	0	0.5098669373	1	1	1	1	0.6753799619	0	0	0	0
16	1.246376427	1	0	0	0	0	0.5098669373	1	1	1	1	0.6753799619	0	0	0	0
17	1.237341257	1	0	0	0	0	0.5098669373	1	1	1	1	0.6753799619	0	0	0	0
18	1.228968671	1	0	0	0	0	0.5098669373	1	1	1	1	0.6753799619	0	0	0	0
19	1.221205078	1	0	0	0	0	0.5098669373	1	1	1	1	0.6753799619	0	0	0	0
20	1.214002084	1	0	0	0	0	0.5098669373	1	1	1	1	0.6753799619	0	0	0	0
21	1.207315855	1	0	0	0	0	0.5098669373	1	1	1	1	0.6753799619	0	0	0	0
22	1.201106583	1	0	0	0	0	0.5098669373	1	1	1	1	0.6753799619	0	0	0	0
23	1.195338031	1	0	0	0	0	0.5098669373	1	1	1	1	0.6753799619	0	0	0	0
