ncode,proba_0,proba_1,proba_2,proba_3,proba_4
N0001HE,0.8564144301103752,0.13717997413483887,0.0043527733021040665,0.0014728073999465,0.0005800150527350833
N0002HE,0.18781908415037576,0.7739154521842195,0.030787044897650686,0.006556820187519599,0.0009215985802341666
N0004HF,0.6514253533372406,0.3240258059196719,0.018907667047616684,0.0042876743360936,0.0013534993593770667
N0005HE,0.00558263056515105,0.01793710504019495,0.3214832479318787,0.6424957138042449,0.012501302658530217
N0006HF,0.098842001011424,0.5188596334046384,0.3113913526502854,0.05427573011671463,0.016631282816937383
N0007HE,0.33475642954066687,0.5701361913017318,0.08130952982482213,0.010912156603622382,0.00288569272915665
N0009HE,0.8556496847837692,0.13605404477616337,0.006522662546250217,0.0013678012888027,0.0004058066050141833
N0009HF,0.6606641000620317,0.29826423758030934,0.029952686498375864,0.0087853260059923,0.002333649853290633
N0012HE,0.7321914511641617,0.23867959444282819,0.023571180418185882,0.004234314882535617,0.0013234590922884832
N0013HF,0.7883447927301507,0.19202570323015147,0.013436503394460399,0.004671612695829917,0.0015213879494073834
N0014HF,0.6459651780497112,0.32960625461111964,0.01897820078848995,0.004150305417425517,0.0013000611332534
N0016HE,0.9043867728475448,0.0882279121112796,0.005478390383838984,0.0012934738712193168,0.0006134507861170833
N0017HE,0.7906926272467736,0.1980646838904306,0.008478668841803967,0.0020393311866193833,0.00072468883437225
N0018HF,0.7604458107830815,0.22321132160120505,0.0123669771456826,0.0029716378881099164,0.0010042525819206167
N0021HF,0.7892514424044803,0.2014709923461333,0.007337793756746667,0.001450878824744,0.00048889266789535
N0022HE,0.7854682979502541,0.1964736076312946,0.012869471704078784,0.0036690720217111,0.0015195506926611833
N0024HE,0.5332948769914395,0.4175235655285268,0.040610451698619716,0.006640666835961817,0.0019304389454518833
N0025HE,0.41579392268501586,0.4209894876091262,0.11695896168736575,0.03825342955973602,0.00800419845875595
N0025HF,0.2040398769645748,0.5278258105509227,0.24920201604388567,0.015670888363391033,0.0032614080772256668
N0026HE,0.2736038221530737,0.4851723727059926,0.22134126620535435,0.0164984285385209,0.003384110397058233
N0026HF,0.7226646723556875,0.259121135032466,0.013861338287460083,0.0031671518054992667,0.00118570251888695
N0027HE,0.6964516137826612,0.27733736685197435,0.020911687126121015,0.004217189841405633,0.0010821423978376666
N0027HF,0.014356169464172867,0.16666007519920856,0.295749761616241,0.5008559315242532,0.02237806219612413
