ncode,proba_0,proba_1,proba_2,proba_3,proba_4
N4541HD,0.7208150401290925,0.251660950355075,0.019174321420664265,0.005612965747709546,0.002736722347458772
N4397HD,0.011153404213156207,0.0467841234237868,0.38919012083842186,0.511644699006309,0.041227652518326115
N4544HD,0.8959770374234884,0.09792166652051727,0.003942819646225948,0.00141652082640851,0.0007419555833596814
N4545HD,0.058119443097356484,0.21920876903417374,0.3562679884869003,0.26062972427959474,0.10577407510197478
N4546HD,0.17081507342235733,0.7458889225643932,0.07428578704814713,0.006994050676660013,0.0020161662884423115
N4550HD,0.8706578375328661,0.12071736313505146,0.004323746815466308,0.0026617993150794025,0.0016392532015368356
N4551HD,0.7192643266035665,0.2677430315324908,0.009440680877690778,0.0025261766706262414,0.0010257843156258992
N4554HD,0.07949533642874558,0.5521158760365846,0.327447085897984,0.030095318017862346,0.010846383618823452
N4555HD,0.5286525570267665,0.4197240528922766,0.04064010572210423,0.008137970739133664,0.0028453136197190746
N4556HD,0.3680956988918002,0.47197890243262736,0.1226028398494252,0.029441250639192465,0.00788130818695463
N4563HD,0.3704870864749448,0.5086986275636627,0.09732248810063837,0.018337491659406905,0.005154306201347093
N4567HD,0.8929031138615358,0.09717610359847416,0.00512883228549815,0.003209805369002693,0.0015821448854891934
N4561HD,0.8378675191276067,0.15258991481507578,0.005997063208650518,0.0023443685036467835,0.0012011343450201973
N4571HD,0.2610668645505668,0.640886297449899,0.07228335068319938,0.018887158648599058,0.006876328667735668
N4574HD,0.9412613299585689,0.05373673398719875,0.003073030926103969,0.0013413860473196898,0.0005875190808086769
N4575HD,0.4852770811739499,0.46509888798662663,0.040052977420480786,0.007292722851797202,0.002278330567145211
N4579HD,0.2455765085843706,0.6150875886574121,0.09959105162467563,0.03089049964032317,0.008854351493218497
N4581HD,0.2041663416831991,0.643207666257914,0.13585222611510767,0.012305172096065188,0.004468593847713905
N4584HD,0.14676341098267054,0.7875988902240972,0.05765472695726076,0.005996042828694477,0.001986929007276991
N4578HD,0.6832284346957546,0.3038725860311052,0.00968012435950404,0.002344707775687968,0.000874147137948398
N4590HD,0.1942262042002552,0.6976746648265152,0.09406241140501068,0.011821216713720162,0.0022155028544988058
N4593HD,0.023459662920780572,0.17905586317742075,0.4456049677158633,0.32449128721965237,0.02738821896628301
N4151HD,0.1426191683541289,0.5100573529214101,0.178414820557712,0.13121899822621932,0.037689659940529766
N4594HD,0.7535560041126529,0.2305482926263524,0.010802480753457314,0.0037943065738360055,0.0012989159337013312
N4600HD,0.3909141617855361,0.5441822585101641,0.052497237850324556,0.009546046546152907,0.002860295307822308
N4605HD,0.08821562782272528,0.4444980718044674,0.3862194351084307,0.07351005698168978,0.0075568082826869346
N4612HD,0.4113164167583931,0.47391230147477376,0.08665701715372054,0.023222603161126253,0.0048916614519864095
N1701HC,0.20341302889590573,0.6437001247364618,0.10957995789888211,0.0326022300954591,0.010704658373291284
