ncode,proba_0,proba_1,proba_2,proba_3,proba_4
N0001HE,0.8895476802238242,0.1035382333478611,0.004152039837409478,0.0018799458529594627,0.0008821007379457985
N0002HE,0.20169414818269008,0.7537564075586294,0.038108336070702596,0.004735509528640691,0.0017055986593371905
N0004HF,0.7191891850660942,0.2565231304508653,0.017943402439057947,0.004697091466361705,0.0016471905776208428
N0005HE,0.005025412469278,0.018718069988257043,0.32175331424063414,0.6335389548814866,0.020964248420344292
N0006HF,0.05272042851867812,0.44001975210109984,0.4233999274729693,0.07155665979833725,0.012303232108915613
N0007HE,0.27164911636590455,0.5954044301854842,0.11220722715303452,0.01612790110314371,0.004611325192433065
N0009HE,0.8427460119338512,0.1461591937045275,0.008421722745933908,0.00200006000250207,0.0006730116131852694
N0009HF,0.6767004121003584,0.2778809441883588,0.029889352855142805,0.0115107676598008,0.004018523196339328
N0012HE,0.7551870766426938,0.21583040740837464,0.0223754727728454,0.004932271559418712,0.0016747716166675651
N0013HF,0.7741234687230447,0.20563552044722733,0.013108686503493203,0.0051517167249179995,0.0019806076013167582
N0014HF,0.6669001639574982,0.2954748498682237,0.028136214852716314,0.006996144498398573,0.00249262682316321
N0016HE,0.8958342861381755,0.09665793514705151,0.004517472672410938,0.0018840150464835051,0.0011062909958783518
N0017HE,0.7804453140751689,0.2063104794879176,0.009425232985581808,0.002677445918170474,0.0011415275331611778
N0018HF,0.7555164248622953,0.22376977736539821,0.015139202317998476,0.003931286714934389,0.0016433087393736233
N0021HF,0.8009201033488941,0.1887646893406572,0.007917912704226532,0.001762581954343416,0.0006347126518787842
N0022HE,0.8076318631820941,0.17135873678780597,0.013915466699888007,0.004833545478589887,0.0022603878516219414
N0024HE,0.5905024798117944,0.36213269255035674,0.03590335463514634,0.008456951291942173,0.003004521710760244
N0025HE,0.3423737996206343,0.4522760443434036,0.1476339071178754,0.04437931662942997,0.013336932288656664
N0025HF,0.12788745150467143,0.6957383567163927,0.1557289649138818,0.01609317959013967,0.004552047274914419
N0026HE,0.18108799818449767,0.6000393892908571,0.19809796850037115,0.01671844877463478,0.004056195249639387
N0026HF,0.7381328927398353,0.23968814760976453,0.01555518820423693,0.004685593141529798,0.0019381783046335762
N0027HE,0.6635768120516423,0.30146202566548536,0.026591724444387742,0.006378183019036235,0.001991254819448454
N0027HF,0.008356410264203818,0.045174391015707124,0.3485535816952799,0.5663972902091932,0.03151832681561603
N0029HF,0.1481040206128402,0.4250697501685316,0.25027991527879767,0.13088846479702768,0.045657849142802895
N0032HF,0.33795429244562075,0.48038397225656115,0.11667552940765442,0.05188579608837365,0.013100409801789909
N0034HE,0.42989907143820794,0.43317504908858895,0.09716314338534274,0.029901301314380974,0.009861434773479316
N0035HF,0.8308254871800299,0.15583196790484408,0.009015502818955193,0.003087349362767996,0.0012396927334027738
N0037HE,0.2956077285319866,0.49910614733004965,0.14917158915932288,0.04367622173349078,0.012438313245150195
N0039HE,0.12006193649139188,0.744964360490213,0.12194851999281797,0.010355692036755133,0.002669490988822185
N0040HE,0.3122373450398402,0.5861691182586186,0.07768603704747193,0.017166652245703757,0.0067408474083656645
N0042HE,0.24187002304227806,0.4408542404926711,0.19524099945140666,0.09128701988002055,0.03074771713362361
N0044HE,0.48238427751544527,0.43016914329405853,0.05900356063563143,0.020944618456893473,0.007498400097971378
N0045HF,0.14201551925006556,0.7503418802018521,0.08628082959667252,0.0162921795656819,0.005069591385727805
N0046HE,0.1520598193347641,0.7241228106509087,0.10299138702934474,0.01631522302214815,0.004510759962834393
N0047HE,0.6316075165409073,0.3259875608574094,0.03251201111071461,0.007344321546817299,0.0025485899441513014
N0047HF,0.78085414883752,0.1969334000385971,0.016625323485677683,0.0042147425190476595,0.001372385119157658
N0048HF,0.657929709820887,0.3006931500348583,0.03128014348341039,0.0075200953295832314,0.002576901331260949
N0053HF,0.9366435965807988,0.05986476378375592,0.0022446660895164973,0.0008251265700610985,0.00042184697586763656
N0054HE,0.13122273775795518,0.7624634804358349,0.09513927635842143,0.008733200552182666,0.002441304895605713
N0058HE,0.39069429017103807,0.4683722463095982,0.09983923833352443,0.03180303656323507,0.009291188622604293
N0058HF,0.8566205260077044,0.13014937974359514,0.009281278316406258,0.0028915597748125493,0.0010572561574816357
N0059HE,0.09110883457609814,0.3292034093576956,0.30434762335559995,0.2095093471259008,0.06583078558470551
N0059HF,0.43292374982537546,0.47598703164719325,0.06712196259953732,0.018155555672290154,0.005811700255603788
N0060HE,0.08791909380524754,0.34407647085959414,0.33609290730599045,0.1870829413121891,0.04482858671697888
N0064HE,0.6114973019936953,0.3375255715257366,0.03515446451816144,0.0118894499847489,0.00393321197765773
N0066HE,0.5696569280771395,0.36862651430998394,0.04686351721607922,0.011752913662946738,0.0031001267338506564
N0068HF,0.02703542849633539,0.16564527916656996,0.3342708277651633,0.3831256196114469,0.08992284496048442
N0069HE,0.6734018014599068,0.30732038172121906,0.01267727803592085,0.004473362826176333,0.0021271759567767783
N0069HF,0.07212077330705376,0.591189391370885,0.299457234282274,0.031196608515957503,0.0060359925238298645
N0070HE,0.12475363106385642,0.42124291793087343,0.28507888948703364,0.14091268345697977,0.028011878061256722
N0071HF,0.37111401870834704,0.542493148813532,0.06358756010350095,0.016838333473580155,0.00596693890103988
N0074HE,0.46838416638901653,0.4692816029897139,0.05013937779235542,0.009403272418465222,0.0027915804104489605
N0076HE,0.08286185571915253,0.3316123018553356,0.33344482942879305,0.2067476232759101,0.045333389720808706
N0076HF,0.8699448104133811,0.1204851543819313,0.006342853373924326,0.0021930526086793587,0.0010341292220839037
N0077HE,0.010715249212240627,0.03921794739285113,0.28539440215280876,0.41053901220673766,0.2541333890353618
N0077HF,0.80642550365966,0.17828944519613715,0.012057009980307933,0.0023761979935221595,0.0008518431703725017
N0078HF,0.8149436549546847,0.17131771990713568,0.01083300303480768,0.0021108074533416512,0.0007948146500304663
N0079HE,0.4588980297960494,0.4780716500325969,0.03969695800064772,0.014439719146646443,0.008893643024059384
N0079HF,0.8525337882070874,0.14014777738803605,0.004849947383853094,0.0016380480542812503,0.0008304389667421013
N0080HE,0.26917881134991506,0.5966396370013984,0.12113870778071742,0.010363339839592622,0.0026795040283765113
