ncode,proba_0,proba_1,proba_2,proba_3,proba_4
N0001HE,0.8528660734328216,0.13861149206929227,0.0070656730267530405,0.0012961492720786401,0.00016061219905422886
N0002HE,0.14487391830794322,0.8059804991825263,0.04292630489807956,0.0059566247172597,0.00026265289419081204
N0004HF,0.5499696366918441,0.4301453961806079,0.01764518856363122,0.0018775736792479198,0.00036220488466863997
N0005HE,0.005317387541138479,0.01697542445428104,0.2649388985133395,0.7114917821292733,0.00127650736196732
N0006HF,0.19708717365122727,0.542407971697678,0.20898145880502317,0.043033455789325284,0.00848994005674608
N0007HE,0.5444687290926341,0.3997039104225039,0.05068667803467728,0.00440746436628112,0.00073321808390346
N0009HE,0.8392378898505777,0.15503806307631657,0.004586015688245361,0.0009613117464256201,0.00017671963843448224
N0009HF,0.6529086018103837,0.31614303749077494,0.02345747529014818,0.006719736231722,0.0007711491769711399
N0012HE,0.7234563185027083,0.2361376230386989,0.0383469885204011,0.00180768034596018,0.0002513895922315306
N0013HF,0.739553944666975,0.2254117901240787,0.02799001364837324,0.0054517476708972395,0.0015925038896755397
N0014HF,0.5659866597254627,0.4140361922998473,0.01825189778999136,0.00145661711742266,0.00026863306727584
N0016HE,0.9140012243155585,0.07957619221972724,0.00556073755974018,0.00074499986335316,0.00011684604162090552
N0017HE,0.7826317203061992,0.20695362638763495,0.00893935714923392,0.00125104798746182,0.00022424816946990434
N0018HF,0.7629768452972819,0.22663438272715605,0.00903766974007184,0.00113900768374762,0.00021209455174227418
N0021HF,0.6518582088101229,0.3353229190706136,0.01121158080369144,0.0013403342880652,0.0002669570275066394
N0022HE,0.6975729314834428,0.2731316399046241,0.02404858442416716,0.00473597854638452,0.0005108656413813199
N0024HE,0.586772201740599,0.3868944633606587,0.023336307780460037,0.0024785990633550197,0.00051842805492718
N0025HE,0.47087544958831584,0.4232476783804847,0.08203550574364238,0.022571618005703183,0.00126974828185376
N0025HF,0.42009370529899454,0.26120943742064096,0.31081816873413887,0.00747664083989266,0.00040204770633279997
N0026HE,0.5958593792285429,0.30114221110540457,0.09674939420626597,0.00571907192128782,0.00052994353849854
N0026HF,0.6327896837472542,0.3416882078070208,0.02174737523801458,0.0034579300947678595,0.0003168031129424
N0027HE,0.6499902485854216,0.33107381153550014,0.0163222503180008,0.0022633760225517,0.00035031353852554
N0027HF,0.03689376731660502,0.33201495244043044,0.17170235461866498,0.45628326237126204,0.0031056632530373
N0029HF,0.16817122103889465,0.4929955520470597,0.28065761578939286,0.05402882656147064,0.00414678456318198
N0032HF,0.21619984636778006,0.4488862022864025,0.22779295654557327,0.1055223255828887,0.0015986692173551801
N0034HE,0.6104167957543707,0.33815507872083517,0.0450358571581608,0.0057709445150482,0.00062132385158494
N0035HF,0.8261176654366927,0.1638867370801329,0.007223364086434381,0.0025691522751327004,0.00020308112160703865
N0037HE,0.1392161637296363,0.667735123065975,0.15086804456236586,0.037952109808073994,0.0042285588339486205
N0039HE,0.5888074054346744,0.3965592042045471,0.01296871783858076,0.00139184944184528,0.00027282308035236
N0040HE,0.22743694647015644,0.6558522357245689,0.10613799815710226,0.008581111483171141,0.0019917081650012
N0042HE,0.10977965470820486,0.45215460253205786,0.34220252371193294,0.0851324894106343,0.01073072963717002
N0044HE,0.6261859026840568,0.27541125526975085,0.08650621323701393,0.011078567715294859,0.0008180610938833
