ncode,proba_0,proba_1,proba_2,proba_3,proba_4
N4541HD,0.26018165803878074,0.6369503037818062,0.09323227166809585,0.008713582858608147,0.0009221836527090263
N4397HD,0.04022088639868164,0.16935475704583994,0.42223387490874087,0.284682666588194,0.0835078150585436
N4544HD,0.8391555788816305,0.1521347915879755,0.007019359901308876,0.001417772639652841,0.0002724969894322145
N4545HD,0.13168876826598563,0.38718562994410405,0.3260302525969501,0.14581311097917443,0.009282238213785895
N4546HD,0.6173491676880919,0.3631232394897565,0.017360889176687513,0.0017983536470596085,0.0003683499984045441
N4550HD,0.806768767148826,0.1739232121584913,0.01592528612495034,0.0030273447722956107,0.00035538979543662353
N4551HD,0.777901023981449,0.21247619796402478,0.007935944930103269,0.001295766678631804,0.00039106644579105823
N4554HD,0.1852100631808009,0.11293717161771485,0.694257972545145,0.00587522299406962,0.001719569662269694
N4555HD,0.7627166023463569,0.20380112588835014,0.030658687621052227,0.0023521165033751966,0.0004714676408656366
N4556HD,0.3083727225910904,0.36313235904808017,0.15858103311600258,0.1681517633408679,0.0017621219039590569
N4563HD,0.49407297540852535,0.4309457352434617,0.06891309259824158,0.005024628777710205,0.0010435679720613494
N4567HD,0.8570443711654869,0.10701331524209204,0.030983824501338915,0.00452789230903148,0.0004305967820507219
N4561HD,0.8685584813475266,0.11977752709592447,0.006669464117617763,0.004692448123769935,0.0003020793151612706
N4571HD,0.22257808006249158,0.6468041676595614,0.10584548792397272,0.02201520959014295,0.0027570547638313485
N4574HD,0.9784708465145903,0.019055395719756375,0.0019784064700738933,0.00041492311688662466,8.04281786930755e-05
N4575HD,0.5807813269240436,0.3969342174375032,0.018325465408246637,0.0034649568275758737,0.0004940334026307326
N4579HD,0.17895563763105424,0.46263131391828205,0.3121256142179401,0.04215024453049689,0.004137189702226673
N4581HD,0.7490964019886159,0.23221518376618422,0.016263472266145756,0.002101158860579029,0.00032378311847504863
N4584HD,0.7614973989531393,0.22990991128960678,0.007024170908526067,0.0012775208699524236,0.00029099797877550886
N4578HD,0.730233248739808,0.24908136907764764,0.017785390191660165,0.0024111391733328416,0.0004888528175513673
N4590HD,0.42839490313214085,0.5452982423429366,0.019554609256924028,0.005741495357713289,0.0010107499102852623
N4593HD,0.029819459828764244,0.1135985384617966,0.2525947489889597,0.6024549652926583,0.0015322874278212405
N4151HD,0.16710693129163182,0.5591239935407147,0.21257243864041767,0.058778496294861246,0.0024181402323745845
N4594HD,0.6397846396359648,0.34797000869327466,0.010011762789711127,0.0016984490083825103,0.0005351398726669091
N4600HD,0.7121048542220236,0.24628992255696486,0.0393175014307503,0.0019642078225043003,0.0003235139677569114
N4605HD,0.3561182488877068,0.3946420047677043,0.19042359613478416,0.05788168137825588,0.0009344688315487544
N4612HD,0.5103514518283367,0.44328865435597825,0.040113947445660346,0.0056778135086757026,0.000568132861348986
N1701HC,0.2751866720598731,0.5314498170793602,0.13325960325489172,0.030228451588860186,0.029875456017014797
N3705HD,0.0036417971710438275,0.01271393677127169,0.04452440360751452,0.03981490235553328,0.8993049600946368
N4589HD,0.639929664097517,0.3286608343950031,0.02530836127488023,0.005533816210375909,0.0005673240222238604
N4339HD,0.925340221145673,0.06959992346099435,0.004097800798362536,0.0007975012952585316,0.00016455329971129084
