ncode,proba_0,proba_1,proba_2,proba_3,proba_4
N0001HE,0.8543129802032672,0.13567816465802043,0.00857693520918746,0.0012796799889781799,0.00015223994054655175
N0002HE,0.1144222881800913,0.8223644727968933,0.05649917680381662,0.006463274491690719,0.00025078772750783
N0004HF,0.41895590422290424,0.5634301323134687,0.01549420354773631,0.00182548900852087,0.00029427090736969003
N0005HE,0.00414159884977733,0.01452571038779803,0.23164588339333153,0.7482290124937954,0.00145779487529749
N0006HF,0.1751945964598438,0.5509042603889029,0.19987091485479758,0.060924281320900074,0.013105946975555411
N0007HE,0.5971688800479972,0.3553943284142004,0.042855812717968074,0.00392240558494982,0.0006585732348845001
N0009HE,0.8696224717592644,0.12530130106022197,0.00395455474428154,0.00096135769426054,0.00016031474197142844
N0009HF,0.7118314028456667,0.26002286752634224,0.02217190254689135,0.00503025810958128,0.00094356897151819
N0012HE,0.6461216037501604,0.30697008377927343,0.04456530916004492,0.00204238444337208,0.0003006188671491
N0013HF,0.7226277707988041,0.24352369813685898,0.02560725609371701,0.00782596071974038,0.00041531425087936005
N0014HF,0.5456768561588639,0.44138374554804416,0.01155421254117359,0.00114030418673048,0.00024488156518774997
N0016HE,0.934503465129285,0.060755560291757216,0.00406095511791567,0.00057102141824523,0.00010899804279677653
N0017HE,0.7374306040204124,0.24893346379568118,0.01231619763702376,0.0011263725923491201,0.00019336195453339614
N0018HF,0.7544370577871241,0.23292156230720057,0.011191056913140431,0.00123128898612804,0.0002190340064068046
N0021HF,0.6358350115793115,0.353565133294194,0.00922747738297853,0.00115058323027088,0.00022179451324492875
N0022HE,0.6646622315424653,0.30971243304674234,0.021821168193752818,0.00330053568859034,0.00050363152844911
N0024HE,0.5180564091748273,0.4497345829401721,0.029332869733150156,0.00244539716156588,0.00043074099028436003
N0025HE,0.41404224223015323,0.4751749086162338,0.09057993830365865,0.019220636412222162,0.00098227443773202
N0025HF,0.4019706369447646,0.24979981811607072,0.3426107223621863,0.00524038347214507,0.00037843910483312
N0026HE,0.5830592193033274,0.2747090761326834,0.1359109283074541,0.00564818203052683,0.00067259422600808
N0026HF,0.6364996362745515,0.33607984997703627,0.02462523082815661,0.00250553148458084,0.00028975143567455
N0027HE,0.657426998291996,0.32684125701154076,0.01372953239288252,0.0017269339817867098,0.00027527832179383
N0027HF,0.03837752568174248,0.37049183702243094,0.24594000466984522,0.3401222929545643,0.00506833967141688
N0029HF,0.21858455266019533,0.4254274415007104,0.2526229182428762,0.09137260095035303,0.01199248664586489
N0032HF,0.2002115836782013,0.4718902040758593,0.17202394416462496,0.15461977365695542,0.00125449442435876
N0034HE,0.6135071510646662,0.337937114158612,0.04280032528159896,0.00522654595444453,0.00052886354067816
N0035HF,0.8531106463564806,0.13755495375891955,0.00682107511959711,0.0023096694012769902,0.00020365536372568774
N0037HE,0.12533002325542092,0.7303537933699561,0.10778546860007772,0.03308029185776558,0.0034504229167796503
N0039HE,0.6458899336665631,0.33863135994892446,0.01378198807122625,0.00142683790464303,0.00026988040864299917
N0040HE,0.2530286369918013,0.6380779138770208,0.09779213368464387,0.00960907933181513,0.00149223611471867
N0042HE,0.1133222714788245,0.42520100868106087,0.33742372800063686,0.09165851019110774,0.03239448164836979
N0044HE,0.5961262573946461,0.27442493923584743,0.11335284419902807,0.015017026912383949,0.0010789322580942499
N0045HF,0.4128084086025157,0.569049070922233,0.01553667920358566,0.00224460636465072,0.00036123490701467
N0046HE,0.06467298863089291,0.43517175612211156,0.49870807262024897,0.00121929630112962,0.00022788632561676105
N0047HE,0.4994606257775329,0.45830489650675654,0.037850859449776716,0.0036655828578862704,0.0007180354080474
N0047HF,0.7316007449443952,0.2531322418719877,0.013277334593269291,0.00174113629283745,0.00024854229751011304
N0048HF,0.7005739302829427,0.27250310324563387,0.02267852477256708,0.0036501482953911904,0.00059429340346504
N0053HF,0.8724129126269622,0.12282647411983683,0.0036997958628683,0.00093956687807168,0.00012125051226076434
N0054HE,0.7109919351116061,0.2735382827595348,0.01369811755358245,0.00154149178034983,0.00023017279492669316
N0058HE,0.31490769707591326,0.6287215027578259,0.05292100722018608,0.00302923684043804,0.00042055610563647005
N0058HF,0.8285747807179711,0.1627668401200182,0.00756489592773212,0.0009235086544747001,0.00016997457980372975
N0059HE,0.13374127872766378,0.40447957455476213,0.3153016059666305,0.13430386923960333,0.012173671511340009
N0059HF,0.3936586501651392,0.43651849940545173,0.10918739824446692,0.05856624563307269,0.00206920655186935
N0060HE,0.06499237054113022,0.3828157277421294,0.302122742169254,0.2366786016329106,0.01339055791457568
N0064HE,0.5776798256739142,0.37158669899744134,0.04327008313978688,0.006873602116766101,0.00058979007209142
N0066HE,0.5556025196780368,0.3662974949964124,0.07096575818491603,0.006643405868607059,0.00049082127202758
N0068HF,0.049297711170933574,0.24415255252947254,0.42954179167046763,0.2644419221261031,0.012566022503022911
N0069HE,0.6122542676345673,0.3637269246974847,0.021797211050671818,0.0019294887105385,0.00029210790673762997
N0069HF,0.15392488505453736,0.3785580783606264,0.4628816286892768,0.00379765202076532,0.00083775587479396
N0070HE,0.14690432928161945,0.4170883752724361,0.2837280167986411,0.144783795768534,0.00749548287876914
N0071HF,0.40165138180834725,0.5250738088880641,0.05753904140916789,0.01447719298754745,0.0012585749068732
N0074HE,0.6271734209582057,0.329917041592216,0.03232493556865236,0.00971097196974327,0.00087362991118247
N0076HE,0.09990448116775053,0.36427857194438285,0.31133083805596423,0.2165574330304345,0.007928675801467649
N0076HF,0.8447722850368793,0.14863618854154323,0.00571270790401383,0.0007312208704443001,0.00014759764711930377
